Category, Price of item in category, Quantity of item sold
Office Supplies,1774.61,11
Furniture,2359.77,6
Office Supplies,1280.88,4
Office Supplies,850.49,11
Office Supplies,1613.56,7
Office Supplies,2010.38,3
Technology,2381.25,7
Office Supplies,2897.05,2
Furniture,2040.52,8
Technology,2243.42,11
Office Supplies,2156.21,4
Office Supplies,2575.29,8
Office Supplies,1288.16,5
Office Supplies,501.57,3
Office Supplies,1870.9,11
Office Supplies,603.87,4
Office Supplies,1273.24,1
Office Supplies,2437.54,1
Office Supplies,2801.36,10
Office Supplies,1838.46,8
Office Supplies,1019.5,10
Office Supplies,2432.12,5
Office Supplies,1505.19,2
Office Supplies,2517.92,5
Office Supplies,2574.13,1
Technology,2166.37,3
Office Supplies,2217.31,7
Office Supplies,1114.54,2
Office Supplies,1799.31,3
Office Supplies,1080.37,11
Office Supplies,1600.16,9
Furniture,1275.13,7
Office Supplies,1119.77,7
Office Supplies,2269.7,5
Office Supplies,2847.69,7
Office Supplies,2441.6,10
Office Supplies,772.84,11
Office Supplies,2481.11,10
Office Supplies,1427.93,9
Office Supplies,2482.55,2
Office Supplies,1838.36,2
Office Supplies,2869.04,11
Office Supplies,1050.48,11
Office Supplies,2050.58,9
Office Supplies,822.36,7
Office Supplies,565.9,9
Office Supplies,761.87,9
Office Supplies,2404,10
Technology,1830.61,7
Office Supplies,2400.64,1
Office Supplies,2404.5,6
Office Supplies,2096.14,6
Office Supplies,896.14,11
Technology,1272.74,1
Office Supplies,2022.97,11
Office Supplies,740.6,9
Office Supplies,2818.11,4
Office Supplies,2751.42,2
Office Supplies,1665.06,11
Office Supplies,2506.75,10
Office Supplies,1428.46,6
Furniture,1923.76,1
Office Supplies,1904.66,2
Office Supplies,586.01,4
Office Supplies,2027.71,6
Office Supplies,859.43,1
Office Supplies,2808.27,4
Office Supplies,1596.51,1
Office Supplies,2321.41,1
Office Supplies,2794.86,6
Office Supplies,1977.79,6
Office Supplies,761.7,4
Office Supplies,544.73,9
Technology,2764.88,1
Office Supplies,2728.48,4
Office Supplies,2206.26,10
Office Supplies,1584.27,6
Office Supplies,926.15,7
Office Supplies,902.8,2
Office Supplies,1362.15,4
Office Supplies,1293.54,8
Office Supplies,1723.39,3
Office Supplies,2778.28,4
Office Supplies,766.66,3
Office Supplies,851.01,5
Office Supplies,1846.87,4
Office Supplies,1501.15,9
Office Supplies,1465.09,9
Office Supplies,1928.54,1
Office Supplies,2617.38,1
Office Supplies,2965.47,4
Office Supplies,2300.7,1
Office Supplies,2121.73,8
Office Supplies,513.82,5
Office Supplies,1562.79,1
Office Supplies,1086.97,8
Furniture,1043.69,7
Technology,527.43,1
Office Supplies,1746.55,11
Office Supplies,2508.28,4
Office Supplies,698.73,3
Office Supplies,886.99,4
Office Supplies,2891.71,9
Office Supplies,2588.59,2
Office Supplies,1733.99,3
Furniture,1949.39,9
Office Supplies,2481.06,10
Office Supplies,1200.47,9
Office Supplies,2412.85,3
Furniture,1691.23,6
Office Supplies,1216.51,11
Furniture,2361.06,11
Office Supplies,2166.96,7
Technology,2769.06,1
Office Supplies,736.42,6
Office Supplies,1975.95,8
Office Supplies,1360.88,8
Office Supplies,1537.84,6
Office Supplies,2717.97,7
Office Supplies,1747.15,6
Office Supplies,947.31,1
Office Supplies,2730.48,6
Office Supplies,2257.43,3
Office Supplies,1157.24,11
Office Supplies,2499.62,4
Office Supplies,2204.9,2
Office Supplies,1050.51,7
Office Supplies,1778.05,11
Office Supplies,683.16,4
Furniture,1759.14,9
Office Supplies,2040.16,5
Office Supplies,2129.34,8
Technology,1567.45,6
Office Supplies,2000.09,8
Office Supplies,1859.55,1
Office Supplies,1930.74,7
Office Supplies,1286.8,8
Office Supplies,1626.7,7
Office Supplies,574.56,7
Office Supplies,1848.28,11
Office Supplies,2928.97,11
Office Supplies,1754.97,7
Office Supplies,2421.71,7
Office Supplies,1235.96,10
Office Supplies,2668.39,3
Office Supplies,2068.25,1
Office Supplies,1445.2,5
Office Supplies,1912.26,7
Office Supplies,1563.44,6
Office Supplies,1624.39,1
Office Supplies,2159.77,7
Office Supplies,691.78,8
Office Supplies,2105.65,10
Office Supplies,1088.59,5
Office Supplies,2604.75,7
Office Supplies,2212.8,10
Office Supplies,1042.85,2
Office Supplies,2489.99,5
Office Supplies,2909.42,7
Technology,1563.13,6
Technology,2197.9,5
Office Supplies,2318.88,9
Office Supplies,1759.39,3
Office Supplies,808.71,8
Office Supplies,2470.14,5
Office Supplies,1391.52,3
Office Supplies,939.62,11
Furniture,2271.96,5
Office Supplies,937.42,9
Office Supplies,2909.88,10
Office Supplies,1930.94,6
Office Supplies,1790.2,5
Office Supplies,2473.37,2
Furniture,1034.88,9
Office Supplies,853.71,7
Office Supplies,2208.53,4
Office Supplies,1056.61,9
Office Supplies,1073.23,7
Office Supplies,1384.89,1
Office Supplies,1025.9,3
Office Supplies,1476.58,6
Office Supplies,1550.66,2
Office Supplies,2123,6
Furniture,1418.54,2
Office Supplies,1433.96,1
Office Supplies,506.96,2
Office Supplies,2738.87,11
Furniture,2810.31,11
Office Supplies,1592.95,3
Technology,802.06,3
Office Supplies,2130.04,1
Office Supplies,746.51,4
Office Supplies,1467.1,11
Office Supplies,2066.73,9
Office Supplies,1691.08,1
Office Supplies,1054.19,8
Furniture,1611.03,2
Office Supplies,2665.95,4
Office Supplies,2723.29,7
Office Supplies,2640.13,10
Furniture,2446.09,11
Office Supplies,1168.98,9
Office Supplies,1433.04,11
Office Supplies,1785.58,4
Office Supplies,2169.7,1
Office Supplies,835.91,7
Office Supplies,2910.31,10
Office Supplies,946.06,7
Office Supplies,585.27,3
Office Supplies,2537.34,7
Office Supplies,1936.16,8
Office Supplies,1853.97,6
Office Supplies,2342.59,10
Office Supplies,1321.2,2
Office Supplies,941.31,8
Office Supplies,1151.87,2
Office Supplies,1996.69,8
Office Supplies,2028.75,11
Office Supplies,1426.54,11
Office Supplies,1855.18,5
Office Supplies,1977.69,2
Office Supplies,2440.27,8
Office Supplies,2160.14,1
Office Supplies,654.49,8
Office Supplies,513.51,9
Office Supplies,900.43,5
Furniture,2987.6,11
Furniture,1919.57,3
Technology,2262.79,2
Office Supplies,1732.84,2
Office Supplies,2124.51,6
Office Supplies,1760.09,8
Technology,2396.44,2
Office Supplies,1004.22,1
Office Supplies,2354.69,1
Office Supplies,2131.11,2
Office Supplies,2612.47,3
Office Supplies,2339.27,4
Office Supplies,2622.56,7
Office Supplies,745.53,1
Office Supplies,2581.48,3
Office Supplies,2519.45,1
Office Supplies,1091.5,6
Office Supplies,2470.01,9
Office Supplies,2597.41,11
Office Supplies,2021.04,9
Office Supplies,1337.59,7
Office Supplies,1936.43,10
Office Supplies,2752.17,1
Furniture,1460.77,5
Furniture,2462.47,5
Office Supplies,2796.24,8
Office Supplies,761.57,6
Furniture,1121.27,4
Office Supplies,1538.01,11
Office Supplies,1381.96,2
Office Supplies,2144.51,5
Office Supplies,2322.28,3
Office Supplies,2940.7,8
Office Supplies,1516.83,8
Office Supplies,2798.2,11
Technology,1389.01,3
Office Supplies,1294.37,3
Office Supplies,2831.41,8
Office Supplies,2617.76,5
Office Supplies,1844.14,6
Office Supplies,2915.88,9
Office Supplies,2204.27,4
Office Supplies,2180.08,2
Office Supplies,716.11,7
Furniture,2350.58,9
Office Supplies,1842.64,8
Office Supplies,2649.45,2
Office Supplies,513.27,5
Office Supplies,791.7,5
Office Supplies,558.75,2
Office Supplies,1964.87,1
Office Supplies,1960.63,2
Office Supplies,1901.03,8
Office Supplies,1977.44,4
Furniture,537.55,3
Office Supplies,1534.09,4
Technology,2787.01,10
Office Supplies,2231.71,7
Office Supplies,2121.34,3
Office Supplies,2155.46,10
Office Supplies,1150.76,2
Furniture,2663.99,7
Office Supplies,2718.27,8
Office Supplies,2631.01,7
Office Supplies,1380.5,9
Office Supplies,2653.37,6
Furniture,2346.95,8
Office Supplies,1526.1,5
Furniture,2660.65,11
Office Supplies,1431.29,5
Office Supplies,1232.46,2
Office Supplies,1668.74,10
Office Supplies,963.01,9
Office Supplies,631.75,7
Office Supplies,972.73,1
Furniture,2366.39,4
Furniture,1604.33,3
Office Supplies,1345.95,8
Office Supplies,2499.07,8
Office Supplies,2701.79,5
Office Supplies,2387.19,11
Office Supplies,615.8,10
Office Supplies,1175.94,4
Office Supplies,945.95,1
Office Supplies,1689.13,5
Office Supplies,2606.02,8
Office Supplies,2678.58,9
Office Supplies,2189.65,6
Office Supplies,1228.85,1
Office Supplies,1640.15,9
Office Supplies,1346.45,2
Office Supplies,1248.25,7
Furniture,2117.68,10
Office Supplies,2872.38,7
Office Supplies,534.83,8
Office Supplies,738.74,6
Office Supplies,2699.39,6
Office Supplies,1594.2,2
Office Supplies,2077.34,11
Furniture,2463.14,8
Office Supplies,2592.36,8
Furniture,1542.35,10
Office Supplies,1828.38,2
Office Supplies,1357.59,5
Office Supplies,1773.96,4
Furniture,1082.98,1
Office Supplies,2875.49,6
Office Supplies,2782.58,3
Office Supplies,1489.43,2
Office Supplies,1295.92,4
Office Supplies,2399.56,1
Office Supplies,836.68,10
Office Supplies,2724.54,1
Furniture,1772.37,1
Office Supplies,2312.94,8
Office Supplies,2673.46,8
Office Supplies,2954.8,6
Office Supplies,869.49,1
Office Supplies,2724.5,9
Office Supplies,1488.97,8
Office Supplies,2872.65,6
Office Supplies,2236.42,1
Office Supplies,964.58,5
Office Supplies,1426.36,6
Office Supplies,1798.43,3
Office Supplies,1137.28,6
Office Supplies,2352.23,11
Office Supplies,1112.77,5
Office Supplies,1000.97,3
Office Supplies,2449.15,9
Office Supplies,2103.03,11
Furniture,1404.04,5
Office Supplies,689.32,2
Technology,2205.45,6
Office Supplies,756.14,5
Office Supplies,2163.04,8
Office Supplies,1488.37,5
Office Supplies,1188.49,3
Office Supplies,746.26,4
Technology,2538.44,7
Office Supplies,2277.98,3
Office Supplies,2349.02,10
Office Supplies,1758.06,3
Furniture,1742.66,3
Office Supplies,857.85,5
Office Supplies,1244.96,7
Office Supplies,2278.8,7
Office Supplies,2750.15,10
Office Supplies,1998.4,1
Office Supplies,2746.73,9
Office Supplies,1807.95,10
Office Supplies,2149.75,3
Office Supplies,1551.78,1
Office Supplies,2952.65,3
Office Supplies,2492.07,4
Office Supplies,589.07,5
Office Supplies,2926.46,4
Office Supplies,2593.76,8
Furniture,527.61,4
Office Supplies,2342.57,11
Office Supplies,873.94,1
Office Supplies,2185.08,2
Furniture,1514.77,11
Office Supplies,2020.12,1
Office Supplies,2196.68,8
Office Supplies,2297.56,6
Technology,2551.57,10
Office Supplies,1308.31,10
Office Supplies,1162.73,10
Office Supplies,2083.46,5
Office Supplies,2228.74,10
Office Supplies,1402.81,7
Office Supplies,1604.31,8
Office Supplies,586.81,6
Office Supplies,2823.25,9
Office Supplies,2446.9,8
Office Supplies,2885.17,3
Office Supplies,910.08,4
Technology,1891.29,10
Office Supplies,2338.55,5
Office Supplies,644.77,2
Office Supplies,1988.5,8
Office Supplies,629.75,8
Office Supplies,1206.5,1
Office Supplies,2965.94,3
Office Supplies,1544.16,1
Office Supplies,1309.49,11
Office Supplies,2184.47,7
Office Supplies,867.23,6
Office Supplies,1753.36,3
Office Supplies,783.35,11
Office Supplies,1331.64,7
Office Supplies,1291.06,3
Office Supplies,1263.06,3
Office Supplies,1537.17,11
Office Supplies,2157.63,8
Office Supplies,1044.48,6
Office Supplies,934.57,3
Office Supplies,983,4
Office Supplies,710.64,3
Office Supplies,1450.62,5
Office Supplies,1076.13,5
Office Supplies,1190.43,7
Office Supplies,578.38,11
Office Supplies,785.84,6
Office Supplies,2449.99,1
Furniture,2513.96,8
Office Supplies,933.44,5
Office Supplies,2409.96,7
Office Supplies,2003.95,6
Office Supplies,602.28,10
Office Supplies,2426.76,7
Office Supplies,845.29,2
Office Supplies,2082.78,10
Office Supplies,2068.84,7
Office Supplies,2796.25,3
Furniture,923.85,11
Furniture,1320.45,8
Office Supplies,2162.03,4
Office Supplies,1510.77,4
Office Supplies,1501.54,3
Office Supplies,1500.72,3
Office Supplies,598.14,3
Office Supplies,614.39,2
Office Supplies,2633.08,11
Office Supplies,2400.64,8
Office Supplies,1810.39,4
Office Supplies,2170.28,8
Office Supplies,1012.21,1
Office Supplies,999.13,10
Office Supplies,723.65,9
Office Supplies,1329.47,9
Office Supplies,2907.84,2
Office Supplies,2441.26,5
Office Supplies,2285.64,4
Office Supplies,565.44,11
Office Supplies,1768.83,3
Office Supplies,2797.51,1
Office Supplies,2372.79,2
Office Supplies,2522.53,1
Office Supplies,1627.47,8
Office Supplies,2947.21,9
Office Supplies,1841.93,7
Office Supplies,1223.47,8
Office Supplies,2404.94,2
Office Supplies,1345.09,2
Technology,1917.09,6
Office Supplies,1569.13,9
Office Supplies,1710.95,7
Office Supplies,1001.16,9
Office Supplies,2785.09,8
Office Supplies,2642.54,10
Office Supplies,2233.84,11
Office Supplies,2715.15,4
Office Supplies,723.13,2
Office Supplies,1298.04,1
Office Supplies,1837.64,11
Office Supplies,2458.99,4
Office Supplies,2296.92,5
Office Supplies,1376.72,10
Office Supplies,2518.35,11
Office Supplies,793.47,6
Office Supplies,2149.03,2
Office Supplies,639.56,1
Office Supplies,1922.62,10
Office Supplies,1338.58,1
Office Supplies,1143.43,10
Office Supplies,2150.65,2
Office Supplies,2199.23,1
Office Supplies,1090.67,9
Office Supplies,1644.71,5
Office Supplies,1875.1,5
Office Supplies,536.21,2
Furniture,2794.63,7
Office Supplies,1487.97,7
Office Supplies,2177.94,11
Office Supplies,1334.34,8
Office Supplies,1133.83,7
Office Supplies,2739.19,2
Furniture,1724.05,4
Office Supplies,1582.05,5
Office Supplies,2697,10
Office Supplies,654.68,2
Office Supplies,981.99,10
Technology,1125.49,2
Furniture,2017.19,9
Office Supplies,2323.03,5
Office Supplies,1629.53,1
Office Supplies,673.21,6
Office Supplies,2455.14,9
Office Supplies,813.3,6
Office Supplies,2643.12,2
Office Supplies,2534.94,9
Office Supplies,1317.25,5
Office Supplies,1759.23,11
Office Supplies,729.12,6
Office Supplies,2270.77,7
Office Supplies,856.27,11
Office Supplies,2680.66,6
Office Supplies,520.84,1
Office Supplies,1118.43,11
Office Supplies,702.16,3
Office Supplies,980.7,2
Office Supplies,622.08,7
Office Supplies,1774.34,10
Office Supplies,2809.82,11
Office Supplies,1959.92,10
Office Supplies,2625.1,8
Office Supplies,1326.82,4
Office Supplies,2190.62,10
Office Supplies,857.51,7
Office Supplies,1669.33,1
Office Supplies,2379,7
Office Supplies,515.73,8
Furniture,2862.97,5
Office Supplies,1435.24,6
Office Supplies,1653.12,8
Furniture,2640.19,7
Office Supplies,2242.22,9
Office Supplies,1187.42,5
Office Supplies,2138,1
Office Supplies,699.19,6
Office Supplies,1186.85,7
Office Supplies,2590.63,6
Office Supplies,2627.09,5
Office Supplies,1670.36,3
Office Supplies,726.35,5
Office Supplies,2022.98,11
Office Supplies,2295.86,10
Office Supplies,2179.4,1
Office Supplies,2539.93,3
Office Supplies,2501.75,6
Office Supplies,2784.09,5
Office Supplies,1350.16,6
Office Supplies,1766.32,3
Office Supplies,618.85,11
Office Supplies,1081.13,8
Office Supplies,1164.9,4
Office Supplies,1938.36,4
Office Supplies,555.48,8
Office Supplies,860.43,7
Office Supplies,1605.61,3
Office Supplies,1461.96,8
Office Supplies,1808.34,9
Furniture,2773.39,7
Office Supplies,2293.09,1
Office Supplies,1618.73,11
Furniture,2213.57,6
Office Supplies,591.89,11
Office Supplies,926.94,10
Office Supplies,1395.88,4
Office Supplies,698.75,10
Office Supplies,2483.92,4
Office Supplies,1556.51,5
Office Supplies,2037.43,6
Office Supplies,2427.94,9
Office Supplies,2617.57,4
Office Supplies,2580.81,4
Office Supplies,1566.84,6
Furniture,2630.72,10
Office Supplies,2714.42,11
Office Supplies,2883.41,10
Office Supplies,1652.57,9
Office Supplies,1921.78,7
Office Supplies,1115.94,2
Office Supplies,2157.44,2
Office Supplies,1075.38,1
Office Supplies,2824.61,1
Office Supplies,883.35,9
Office Supplies,765.28,11
Office Supplies,1709.11,11
Office Supplies,2010.3,1
Office Supplies,925.05,6
Furniture,2907.84,4
Furniture,1844.85,2
Furniture,2950.16,10
Office Supplies,2634.24,8
Office Supplies,1948.81,10
Office Supplies,2872.88,5
Office Supplies,1759.75,11
Office Supplies,1523.79,11
Office Supplies,951.2,7
Office Supplies,1286.07,7
Office Supplies,2480.95,11
Office Supplies,1365.49,10
Technology,2334.93,7
Technology,1184.15,9
Office Supplies,1908.78,1
Office Supplies,2376.35,8
Office Supplies,557.5,10
Office Supplies,2938.84,11
Office Supplies,819.84,11
Furniture,2546.1,7
Office Supplies,852.53,6
Furniture,1426.66,10
Office Supplies,600.83,10
Office Supplies,2266.58,3
Office Supplies,2835.4,2
Office Supplies,2248.51,7
Office Supplies,1806.77,11
Office Supplies,2006.72,3
Furniture,2699.3,2
Office Supplies,1632.52,4
Office Supplies,1601.44,9
Office Supplies,874.37,10
Office Supplies,1780.54,6
Office Supplies,2760.77,9
Office Supplies,2845.22,6
Office Supplies,520.59,5
Office Supplies,2467.5,5
Office Supplies,568.9,1
Office Supplies,1299.22,6
Office Supplies,1470.97,6
Office Supplies,2264.3,4
Office Supplies,1142.88,11
Office Supplies,1508.77,3
Office Supplies,2613.73,2
Office Supplies,796.99,6
Office Supplies,677.15,1
Office Supplies,1414.45,10
Office Supplies,1735.15,8
Office Supplies,2668.08,11
Office Supplies,2564.57,8
Office Supplies,613.86,10
Office Supplies,668.81,10
Office Supplies,1323.25,9
Furniture,2060.01,5
Office Supplies,2464,6
Office Supplies,2817.27,1
Office Supplies,2993.19,11
Technology,1096.77,7
Office Supplies,870.34,5
Office Supplies,1012.33,3
Office Supplies,2812.96,1
Technology,1237.68,5
Office Supplies,1156.48,2
Office Supplies,2403.01,11
Office Supplies,2401.49,7
Office Supplies,2911.42,7
Office Supplies,845.94,10
Office Supplies,1799.3,1
Office Supplies,2004.66,8
Office Supplies,1518.4,7
Furniture,516.43,11
Office Supplies,654,6
Office Supplies,766.73,8
Office Supplies,690.53,5
Office Supplies,2106.12,9
Technology,635.13,8
Office Supplies,797.09,4
Office Supplies,2454.29,1
Office Supplies,2161.34,9
Office Supplies,1026.98,7
Office Supplies,1941.78,6
Office Supplies,777.7,11
Office Supplies,515.51,8
Office Supplies,2998.96,4
Office Supplies,2052.8,3
Office Supplies,1478.11,1
Office Supplies,780.4,9
Office Supplies,1098.73,4
Office Supplies,2071.8,7
Office Supplies,2730.29,8
Technology,2812.37,3
Office Supplies,658.05,9
Office Supplies,1409.64,9
Office Supplies,1441.66,4
Office Supplies,1488.75,1
Office Supplies,1648.53,3
Office Supplies,1908.35,6
Office Supplies,1555.49,1
Office Supplies,692.38,2
Office Supplies,2387.63,5
Office Supplies,617.61,4
Office Supplies,901.53,4
Office Supplies,1356.09,11
Office Supplies,2875.22,7
Office Supplies,2704.73,7
Office Supplies,1038.46,11
Office Supplies,2762.99,4
Office Supplies,2435.59,3
Office Supplies,1043.75,5
Office Supplies,2122.92,10
Office Supplies,2033.43,5
Office Supplies,2250.7,5
Office Supplies,897.27,4
Office Supplies,2195.68,9
Office Supplies,2854.82,8
Office Supplies,2796.6,4
Office Supplies,1612.6,11
Office Supplies,2397.17,8
Office Supplies,1026.88,5
Office Supplies,1636.96,5
Office Supplies,2403.08,5
Office Supplies,1511.88,2
Office Supplies,1301.28,8
Office Supplies,985,11
Office Supplies,1074.8,3
Office Supplies,2393.77,5
Office Supplies,2292.28,9
Office Supplies,1918.48,4
Office Supplies,2988.97,8
Office Supplies,1743.57,4
Office Supplies,1422.86,9
Office Supplies,620.94,8
Office Supplies,2621.45,9
Office Supplies,892.54,6
Office Supplies,2449.41,8
Furniture,1526.99,4
Office Supplies,1791.82,10
Office Supplies,1197.49,11
Office Supplies,1577.35,3
Furniture,2769.28,8
Office Supplies,1986.79,4
Office Supplies,866.62,10
Office Supplies,2039.83,5
Furniture,860.58,5
Furniture,695.42,8
Furniture,517.15,5
Office Supplies,1262.33,6
Office Supplies,1595.6,10
Office Supplies,806.67,4
Office Supplies,2512.08,5
Office Supplies,1876.86,2
Office Supplies,2724.04,8
Office Supplies,2893.91,11
Technology,1635.63,8
Office Supplies,2881.3,11
Office Supplies,1028.92,5
Furniture,2625.65,11
Office Supplies,1944.79,3
Office Supplies,2661.87,6
Office Supplies,2042.47,8
Office Supplies,2096.73,10
Office Supplies,1677.91,11
Office Supplies,1409.65,10
Office Supplies,2245.4,1
Office Supplies,2070.03,2
Office Supplies,2410.21,10
Office Supplies,1665.43,7
Office Supplies,1225.03,11
Office Supplies,1955.45,4
Office Supplies,2720.88,9
Office Supplies,2322.03,10
Office Supplies,2412.62,2
Office Supplies,829.52,6
Office Supplies,2976.9,4
Office Supplies,897.3,10
Office Supplies,680.83,3
Furniture,917.21,2
Office Supplies,1444.25,11
Office Supplies,1267.2,8
Office Supplies,758.82,11
Office Supplies,2215.16,1
Office Supplies,2809.4,1
Office Supplies,1814.05,3
Office Supplies,2113.9,9
Office Supplies,835.19,5
Office Supplies,830.52,9
Office Supplies,2101.84,9
Office Supplies,1156.64,11
Office Supplies,1685.94,5
Office Supplies,2241.18,6
Office Supplies,2238.13,1
Office Supplies,2849.22,2
Office Supplies,790.89,10
Office Supplies,1697.39,3
Office Supplies,519.58,4
Office Supplies,1035.62,7
Office Supplies,1361.89,11
Office Supplies,2493.37,5
Office Supplies,1787.23,2
Office Supplies,2566.71,3
Office Supplies,708.54,11
Office Supplies,2470.5,4
Office Supplies,1136.63,4
Office Supplies,2063.18,4
Office Supplies,2166.01,3
Office Supplies,1509.99,9
Office Supplies,2737.76,9
Office Supplies,1945.17,10
Office Supplies,2466.51,5
Office Supplies,1230.02,8
Office Supplies,1520.35,1
Office Supplies,1158.3,6
Office Supplies,2862.75,2
Office Supplies,1505.35,3
Office Supplies,1371.22,1
Technology,843.15,11
Office Supplies,1836,11
Office Supplies,2189.06,10
Office Supplies,2271.91,11
Office Supplies,1027.46,5
Office Supplies,885.58,5
Office Supplies,1944.35,5
Office Supplies,2977.42,8
Office Supplies,1768.58,4
Office Supplies,2701.91,4
Office Supplies,1887.32,6
Office Supplies,2899.69,7
Office Supplies,2537.35,10
Office Supplies,2971.23,1
Office Supplies,2301.39,7
Office Supplies,1813.23,6
Office Supplies,2514.32,9
Office Supplies,646.08,10
Office Supplies,1007.89,1
Office Supplies,1344.41,1
Office Supplies,1863.64,8
Office Supplies,1743.23,5
Office Supplies,2068.55,3
Office Supplies,2940.8,4
Office Supplies,2461.37,6
Office Supplies,1097.94,7
Office Supplies,850.76,5
Office Supplies,642.6,3
Technology,980.42,10
Office Supplies,2512.15,6
Office Supplies,1108.8,4
Office Supplies,994,3
Office Supplies,2676.86,11
Office Supplies,2882.64,3
Office Supplies,1620.88,7
Office Supplies,1839.49,6
Office Supplies,679.64,3
Office Supplies,2685.39,11
Office Supplies,1574.89,4
Office Supplies,1546.94,5
Office Supplies,558.61,4
Office Supplies,1121.77,11
Office Supplies,2814.31,6
Office Supplies,2887.88,3
Office Supplies,935.16,1
Office Supplies,1803.86,3
Office Supplies,739.64,9
Office Supplies,1383.45,5
Office Supplies,2903.42,11
Office Supplies,1566.71,10
Office Supplies,1610.41,6
Office Supplies,1394.17,3
Office Supplies,1550.67,2
Office Supplies,848.27,3
Office Supplies,2208.41,1
Office Supplies,2091.24,5
Office Supplies,1900.81,1
Technology,1569.69,11
Office Supplies,803.37,7
Office Supplies,2197.84,10
Office Supplies,1656.08,3
Office Supplies,2582.51,3
Technology,1109.27,4
