Category, Price of item in category, Quantity of item sold
Office Supplies,1689.06,4
Office Supplies,1820.17,5
Office Supplies,1549.79,5
Office Supplies,609.89,7
Office Supplies,1806.62,7
Technology,2853.02,6
Office Supplies,2533.99,2
Furniture,2639.1,7
Office Supplies,2036.2,6
Furniture,2762.57,1
Office Supplies,2397.7,2
Technology,2366.73,10
Technology,1740.88,8
Office Supplies,2147.12,6
Office Supplies,1596.06,8
Furniture,2795.6,8
Technology,1434.08,1
Office Supplies,1064.08,11
Furniture,1198.26,2
Furniture,925.49,5
Technology,1185.55,7
Technology,2224.65,10
Office Supplies,1640.8,6
Office Supplies,1364.6,10
Office Supplies,2544.44,1
Technology,2020.77,10
Office Supplies,1833.37,11
Office Supplies,1928.4,8
Office Supplies,1813.6,2
Office Supplies,2643.91,11
Office Supplies,607.86,11
Office Supplies,1542.39,5
Furniture,763.79,3
Office Supplies,1516.8,5
Office Supplies,2201.2,4
Office Supplies,2984.59,4
Furniture,2646.4,1
Office Supplies,1361.36,11
Office Supplies,1927.64,11
Furniture,613.3,8
Technology,1649.09,5
Office Supplies,2968.37,7
Office Supplies,2427.24,6
Technology,1226.45,10
Office Supplies,2739.78,2
Office Supplies,618.31,2
Office Supplies,2373.93,11
Technology,2089.55,10
Office Supplies,1161.58,4
Office Supplies,2126.16,11
Furniture,788.58,6
Office Supplies,1451.47,7
Office Supplies,1673.61,8
Office Supplies,1647.86,3
Furniture,1130.59,5
Technology,1039.16,10
Office Supplies,1980.73,1
Office Supplies,1191.21,2
Office Supplies,2634.54,1
Office Supplies,2085.87,6
Technology,2659.33,9
Technology,1219.75,4
Office Supplies,1918.14,6
Office Supplies,1400.66,3
Office Supplies,2265.18,4
Office Supplies,1824.49,9
Office Supplies,711.82,7
Office Supplies,1831.4,8
Technology,1204.87,7
Office Supplies,1165.81,11
Office Supplies,650.9,6
Office Supplies,2208.5,10
Technology,1362.73,3
Office Supplies,2254.98,4
Office Supplies,927.52,8
Office Supplies,2981.56,11
Office Supplies,2901.42,11
Technology,2653.4,6
Office Supplies,1720.32,10
Furniture,2777.98,10
Furniture,2596.34,7
Furniture,1816.64,11
Office Supplies,708.08,8
Office Supplies,518.63,9
Technology,2021.54,8
Office Supplies,2599.52,4
Technology,1625.34,11
Office Supplies,2523.47,1
Office Supplies,1377.88,1
Office Supplies,1869.14,7
Office Supplies,2737.38,4
Office Supplies,1727.85,7
Office Supplies,742.99,2
Technology,2743.17,9
Office Supplies,1795.34,2
Furniture,1708.82,7
Office Supplies,2526.97,2
Office Supplies,2682.42,8
Office Supplies,2482.3,9
Technology,1690.03,1
Office Supplies,1937.84,5
Furniture,2518.51,3
Office Supplies,576.53,2
Office Supplies,2553.75,1
Office Supplies,1296.4,1
Office Supplies,1490.37,7
Office Supplies,1038.77,9
Office Supplies,638.88,5
Technology,1591.17,4
Office Supplies,2496.44,8
Office Supplies,2477.32,5
Office Supplies,745.05,11
Office Supplies,731.52,3
Office Supplies,2543.44,7
Office Supplies,2956.68,5
Office Supplies,2294.56,3
Office Supplies,2538.96,7
Office Supplies,787.1,9
Office Supplies,893.5,8
Technology,526.42,2
Office Supplies,1115.25,5
Technology,615.43,9
Office Supplies,1826.8,2
Technology,2909.53,2
Office Supplies,1839.5,4
Technology,2920.93,4
Office Supplies,1158.91,6
Office Supplies,2165.82,9
Office Supplies,2875.76,7
Technology,2544.49,4
Office Supplies,2037.8,4
Office Supplies,1388.31,1
Office Supplies,2217.88,9
Office Supplies,1350.9,11
Technology,1392.23,6
Office Supplies,1224.05,9
Office Supplies,2458.82,11
Office Supplies,2013.42,7
Office Supplies,736.77,5
Office Supplies,1467.15,6
Technology,1147.93,2
Office Supplies,1343.37,11
Office Supplies,1735.66,1
Technology,2173.52,3
Office Supplies,1291.75,8
Technology,899.31,5
Furniture,2151.29,11
Technology,2565.33,7
Furniture,1761.11,8
Technology,650.3,9
Office Supplies,706.26,4
Office Supplies,2040.97,6
Office Supplies,1090.84,9
Office Supplies,1147.63,5
Office Supplies,2056.32,1
Technology,1543.97,9
Office Supplies,2896.76,7
Technology,980.26,5
Office Supplies,505.42,5
Office Supplies,2872.93,5
Technology,1889.33,11
Office Supplies,1750.85,1
Office Supplies,794.09,4
Office Supplies,734.12,1
Furniture,1233.23,8
Office Supplies,2410.9,5
Office Supplies,1257.45,5
Furniture,2447.82,9
Office Supplies,2287.76,4
Furniture,1036.68,6
Office Supplies,1380.24,8
Office Supplies,720.15,4
Office Supplies,1564.29,8
Office Supplies,2510.46,10
Technology,2272.83,7
Office Supplies,783.52,10
Technology,2053.8,11
Office Supplies,2595.94,8
Office Supplies,2354.32,4
Office Supplies,1989.87,2
Technology,1910.25,6
Office Supplies,2560.84,1
Office Supplies,1556.76,5
Technology,614.16,9
Office Supplies,2823.34,9
Office Supplies,1305.25,8
Office Supplies,657.91,5
Office Supplies,2687.7,5
Technology,778.36,6
Technology,1399.83,4
Furniture,2908.96,8
Furniture,635.04,5
Office Supplies,779.95,3
Office Supplies,1524.48,10
Office Supplies,2948.65,1
Office Supplies,2832.3,6
Office Supplies,2011.78,11
Furniture,525.16,1
Office Supplies,585.12,7
Office Supplies,939.45,9
Office Supplies,814.6,5
Furniture,2674.2,4
Office Supplies,1883.17,7
Office Supplies,984.85,9
Furniture,791.72,2
Office Supplies,2227.76,6
Technology,2115.95,5
Office Supplies,696.27,1
Office Supplies,2292.48,5
Office Supplies,523.02,6
Office Supplies,2027.35,2
Office Supplies,2479.37,6
Office Supplies,2482.09,2
Furniture,647.08,10
Office Supplies,504.38,8
Office Supplies,1242.11,8
Furniture,2179.15,9
Furniture,640.12,2
Office Supplies,676.92,2
Technology,1451.41,10
Furniture,1631.21,8
Furniture,1265.7,6
Office Supplies,2646.71,8
Office Supplies,886.94,8
Furniture,1902.66,1
Furniture,1092.81,2
Office Supplies,1996.81,1
Furniture,2026.5,6
Office Supplies,1569.93,10
Technology,2486.22,7
Office Supplies,1448.35,1
Office Supplies,856.83,11
Office Supplies,2453.81,2
Office Supplies,2094.41,10
Office Supplies,1012.2,5
Office Supplies,2154.56,3
Office Supplies,670.75,4
Office Supplies,1057.59,3
Office Supplies,2229.82,2
Office Supplies,2422.91,1
Office Supplies,2851.4,7
Furniture,932.34,3
Office Supplies,2109.73,7
Furniture,1701.67,11
Furniture,1957.23,1
Technology,1243.8,10
Office Supplies,2143.91,7
Office Supplies,890.09,6
Office Supplies,2724.5,11
Office Supplies,1131.71,10
Office Supplies,2331.89,2
Office Supplies,2035.57,3
Office Supplies,878.24,10
Technology,752.29,8
Office Supplies,1949.37,7
Office Supplies,2744.55,8
Technology,2888.58,11
Furniture,2934.27,4
Furniture,2872.85,10
Office Supplies,2466.1,7
Office Supplies,1686.57,5
Technology,2064.76,3
Technology,2612.19,3
Office Supplies,2883.84,8
Office Supplies,917.57,9
Office Supplies,2797.91,11
Office Supplies,2808.98,7
Office Supplies,2027.07,11
Office Supplies,986.16,8
Technology,937.94,7
Office Supplies,2329.93,1
Office Supplies,1978.25,5
Office Supplies,1838.76,1
Office Supplies,2746.87,7
Furniture,2222.21,2
Office Supplies,710.68,1
Furniture,2637.57,10
Technology,1966.88,2
Office Supplies,2699.85,9
Technology,2137.47,7
Office Supplies,2202.41,1
Technology,1027.48,9
Office Supplies,2499.41,6
Technology,2391.08,7
Technology,1336.1,11
Office Supplies,1728.31,6
Office Supplies,876.66,8
Furniture,2181.24,5
Office Supplies,1403.2,9
Office Supplies,1149.87,4
Office Supplies,2216.1,3
Furniture,2298.11,11
Furniture,2801.98,1
Office Supplies,646.78,8
Office Supplies,2690.4,11
Office Supplies,1937.87,8
Office Supplies,2255.31,6
Furniture,2020.35,9
Office Supplies,2637.53,11
Technology,2527.79,6
Office Supplies,1647.1,8
Office Supplies,2851,8
Office Supplies,2320.38,3
Office Supplies,619.51,9
Furniture,948.18,3
Office Supplies,2494.82,11
Furniture,2495.5,2
Office Supplies,2200.73,3
Office Supplies,1107.74,3
Furniture,1412.99,1
Office Supplies,2245.63,2
Office Supplies,2447.8,8
Furniture,2134.81,1
Office Supplies,1808.18,3
Office Supplies,2324.04,5
Technology,2004.92,5
Office Supplies,1957.78,2
Furniture,1987.74,11
Office Supplies,2817.83,1
Office Supplies,829.04,8
Office Supplies,529.7,2
Office Supplies,2959.81,10
Office Supplies,1762.1,8
Technology,984.05,10
Technology,1041.76,1
Office Supplies,995.82,11
Office Supplies,1427.13,11
Technology,502.38,10
Office Supplies,1018.22,6
Office Supplies,1760.18,11
Office Supplies,1356.62,8
Office Supplies,1557.91,3
Office Supplies,2992.33,5
Furniture,2616.54,9
Office Supplies,1856.91,7
Office Supplies,2710.13,10
Office Supplies,2404.47,7
Office Supplies,2368.76,1
Office Supplies,1023.96,6
Office Supplies,1886,9
Office Supplies,1821.54,9
Office Supplies,1984.33,6
Office Supplies,2547.83,2
Furniture,1563.82,5
Office Supplies,549.57,5
Office Supplies,778.22,11
Office Supplies,2953.09,10
Office Supplies,2810.77,5
Office Supplies,2200.33,7
Technology,2605.8,11
Office Supplies,617.12,1
Office Supplies,2904.98,5
Furniture,2277.25,9
Technology,825.04,2
Office Supplies,2358.66,5
Office Supplies,2241.85,4
Office Supplies,865.74,8
Technology,1640.15,3
Office Supplies,1603.7,4
Office Supplies,2584.36,9
Furniture,2048.84,4
Office Supplies,2931.56,4
Office Supplies,2617.11,2
Office Supplies,2967.55,6
Technology,1720.36,11
Office Supplies,2310.43,1
Furniture,534.91,8
Technology,1708.5,11
Office Supplies,1534.47,8
Technology,1409.66,7
Technology,1944.14,7
Office Supplies,504.89,3
Office Supplies,1313.35,11
Office Supplies,838.31,1
Office Supplies,535.44,10
Technology,2027.42,5
Office Supplies,2832.53,3
Office Supplies,1780.96,11
Furniture,1896.56,10
Technology,724.68,8
Technology,2017.51,11
Office Supplies,919.86,1
Office Supplies,824.28,10
Office Supplies,2762.29,8
Office Supplies,1714.28,2
Office Supplies,2693.83,10
Office Supplies,1106.99,10
Office Supplies,2612.75,5
Office Supplies,841.94,9
Office Supplies,1885,6
Office Supplies,1570.32,9
Technology,796.91,2
Office Supplies,2895.59,10
Office Supplies,2642.18,10
Furniture,784.34,6
Office Supplies,2153.86,7
Office Supplies,2444.63,5
Office Supplies,2308.06,5
Office Supplies,1202.34,10
Technology,1781.8,10
Office Supplies,2462.81,6
Office Supplies,2316.02,4
Office Supplies,1638.44,1
Technology,1449.45,8
Office Supplies,534.54,4
Office Supplies,1462.27,6
Furniture,2394.07,2
Office Supplies,2824.76,5
Furniture,704.6,5
Office Supplies,1539.08,4
Technology,2511.95,2
Technology,2805.72,10
Office Supplies,2477.49,6
Office Supplies,1635.45,5
Technology,1070.02,7
Technology,566.73,5
Office Supplies,1726.83,3
Office Supplies,2873.41,11
Office Supplies,1627.82,5
Office Supplies,653.18,5
Office Supplies,2545.47,5
Furniture,2449.75,6
Furniture,902.84,1
Office Supplies,1566.71,3
Office Supplies,1852.36,8
Office Supplies,2096.04,11
Furniture,1985.45,10
Furniture,2284.2,4
Office Supplies,2373.7,10
Office Supplies,1452.82,5
Office Supplies,1397.8,11
Furniture,2544.66,2
Office Supplies,1932.73,6
Office Supplies,1377.89,4
Office Supplies,563.71,5
Office Supplies,1519.73,10
Office Supplies,2814.94,11
Office Supplies,873.19,5
Technology,785.23,4
Office Supplies,1156.2,5
Office Supplies,1823.75,6
Furniture,1619.9,2
Office Supplies,1614.16,5
Office Supplies,2541.6,8
Office Supplies,2005.51,7
Office Supplies,1057.18,11
Office Supplies,566.54,10
Office Supplies,1097.81,6
Office Supplies,901.81,1
Office Supplies,1026.46,8
Furniture,2452.54,8
Office Supplies,1751.68,3
Office Supplies,2582.47,3
Furniture,1730.14,10
Office Supplies,1684.47,7
Office Supplies,966.56,7
Office Supplies,1622.98,7
Office Supplies,2621.34,2
Office Supplies,781.8,8
Furniture,1144.31,9
Office Supplies,1616.4,11
Office Supplies,2849.54,4
Technology,2913.44,8
Technology,1923.04,3
Office Supplies,1251.89,11
Furniture,1536.03,8
Office Supplies,704.87,7
Office Supplies,2303.21,6
Office Supplies,2449.22,2
Office Supplies,2442.39,11
Technology,2690.54,3
Office Supplies,2331.36,10
Furniture,2512.1,10
Office Supplies,1025.7,1
Furniture,2710.33,5
Office Supplies,759.32,11
Office Supplies,751.55,7
Office Supplies,1944.71,2
Office Supplies,1232.98,5
Office Supplies,675.09,9
Office Supplies,2035.3,8
Office Supplies,1792.78,9
Technology,1039.23,1
Office Supplies,1070.76,7
Office Supplies,2739.03,7
Office Supplies,2685.5,2
Technology,2912.54,7
Furniture,1172.93,7
Technology,1110.87,2
Office Supplies,2323.28,11
Technology,2466.28,1
Office Supplies,1111.38,11
Furniture,1612.05,6
Technology,2782.95,8
Office Supplies,1983.01,8
Office Supplies,2142.93,2
Furniture,1363.14,1
Office Supplies,1065.91,2
Technology,1153.5,1
Office Supplies,2179.18,7
Office Supplies,1408.36,3
Office Supplies,1845.23,9
Office Supplies,2880.98,10
Furniture,2789.15,10
Office Supplies,1107.97,2
Furniture,1909.07,9
Office Supplies,2359.71,5
Office Supplies,2160.84,6
Office Supplies,583.02,5
Office Supplies,1493.7,8
Office Supplies,1945.92,10
Office Supplies,2209.44,2
Furniture,1265.89,3
Office Supplies,2535.83,8
Office Supplies,913.89,1
Furniture,2113.82,6
Office Supplies,755.09,4
Technology,2850.92,8
Office Supplies,530.24,4
Office Supplies,2548.4,5
Office Supplies,2833.52,9
Office Supplies,861.92,7
Office Supplies,985.71,9
Office Supplies,2252.27,3
Office Supplies,1685.57,1
Office Supplies,2761.14,4
Office Supplies,2594.83,1
Furniture,1344.15,4
Furniture,1040.36,5
Technology,2886.85,4
Office Supplies,1811.48,4
Technology,1448.13,7
Office Supplies,1676.04,11
Office Supplies,1135.83,2
Office Supplies,511.1,3
Technology,1242.75,11
Technology,1942.92,8
Office Supplies,913.22,2
Office Supplies,2158.53,4
Technology,2483.7,6
Office Supplies,702.44,9
Office Supplies,2441.79,4
Office Supplies,914.91,1
Furniture,879.31,9
Office Supplies,2832.95,7
Office Supplies,1714.29,5
Office Supplies,1936.43,4
Office Supplies,917.06,10
Office Supplies,1723.42,2
Office Supplies,2474.46,4
Office Supplies,583.32,4
Furniture,1349.28,10
Furniture,962.05,8
Office Supplies,2354.96,10
Technology,2488.2,3
Office Supplies,1046.61,8
Office Supplies,1227.71,6
Office Supplies,2184.02,7
Office Supplies,2929.75,4
Office Supplies,819.08,7
Office Supplies,709.24,6
Furniture,1996.08,6
Technology,2719.6,11
Office Supplies,586.15,5
Office Supplies,710.07,10
Office Supplies,946.77,8
Office Supplies,1338.3,10
Office Supplies,2949.68,2
Office Supplies,2443.78,6
Technology,1137.33,9
Office Supplies,1349.84,3
Office Supplies,1286.65,1
Office Supplies,1390.09,1
Office Supplies,2299.53,2
Office Supplies,1182.87,9
Office Supplies,2931.99,5
Office Supplies,1959.93,6
Office Supplies,2878.72,2
Office Supplies,1191.89,4
Office Supplies,866.31,3
Office Supplies,2613.5,3
Office Supplies,779.4,6
Technology,501.87,5
Office Supplies,558.03,1
Office Supplies,2485.8,2
Office Supplies,1405.65,4
Office Supplies,1995.48,8
Office Supplies,2234.96,11
Office Supplies,2500.23,2
Office Supplies,1636.77,6
Office Supplies,2424.18,5
Office Supplies,2876.51,9
Office Supplies,1893.08,11
Office Supplies,1027.82,1
Office Supplies,1511.14,11
Office Supplies,1624.32,6
Office Supplies,2528.83,10
Office Supplies,813.82,6
Office Supplies,567.06,1
Office Supplies,2106.77,9
Office Supplies,859.76,3
Office Supplies,2226.89,10
Technology,2558.42,10
Office Supplies,2860.34,10
Office Supplies,871.71,2
Office Supplies,706.35,6
Office Supplies,1751.67,6
Office Supplies,2609.91,11
Furniture,862.67,3
Office Supplies,1793.03,2
Furniture,2006.5,8
Technology,639,2
Furniture,2420.47,1
Office Supplies,2851.41,4
Office Supplies,1007.04,8
Office Supplies,1340.87,1
Office Supplies,1501.83,11
Office Supplies,2255.54,9
Furniture,700.3,1
Office Supplies,1291.95,8
Office Supplies,1566.01,5
Office Supplies,1808.32,7
Technology,1958.05,9
Office Supplies,1830.31,11
Office Supplies,2283.57,9
Office Supplies,1437.39,4
Office Supplies,1490.53,5
Office Supplies,2653.13,8
Office Supplies,1922.71,4
Office Supplies,2625.59,9
Office Supplies,1318.13,11
Office Supplies,2370.22,2
Furniture,2114.44,8
Technology,1089,8
Office Supplies,650.59,1
Furniture,2762.92,6
Office Supplies,2811.17,2
Furniture,2411.51,4
Furniture,1832.55,3
Furniture,2201.87,7
Technology,2882.7,11
Technology,1681.18,1
Office Supplies,1088.77,9
Office Supplies,2771.02,5
Technology,2939.05,6
Technology,2150.76,10
Office Supplies,1142.79,3
Technology,2630.22,11
Office Supplies,1629.51,10
Office Supplies,1062.37,4
Technology,1388.79,4
Office Supplies,2524.43,5
Technology,2344.32,8
Technology,534.75,7
Office Supplies,2167.8,1
Furniture,613.28,5
Furniture,1436.65,4
Office Supplies,2810.24,5
Office Supplies,2836.94,9
Office Supplies,2951.83,3
Office Supplies,1790.48,5
Office Supplies,2198.3,7
Office Supplies,1222.84,4
Office Supplies,500.58,1
Technology,1782.86,4
Office Supplies,732.73,3
Furniture,2219.1,11
Office Supplies,2480.72,7
Furniture,1928.12,3
Office Supplies,880.07,1
Technology,721.67,7
Furniture,2719.35,6
Office Supplies,2245.55,11
Office Supplies,1598.67,9
Office Supplies,1295.68,3
Office Supplies,2848.59,6
Office Supplies,2662.44,2
Office Supplies,1149.52,11
Office Supplies,1432.61,5
Office Supplies,1332.29,3
Office Supplies,1550.06,5
Office Supplies,1302.88,10
Technology,1987.79,2
Office Supplies,2794.6,4
Office Supplies,1290.91,7
Office Supplies,2967.83,10
Furniture,2384.39,1
Furniture,515.88,2
Furniture,2093.26,5
Office Supplies,2796.07,8
Office Supplies,1932.9,6
Office Supplies,1242.87,1
Office Supplies,1100.77,11
Office Supplies,1475.46,5
Office Supplies,2142.3,11
Office Supplies,632.82,9
Office Supplies,693.54,1
Office Supplies,2234.45,7
Office Supplies,693,1
Office Supplies,2213.86,7
Office Supplies,2740.73,11
Office Supplies,2523.84,6
Office Supplies,800.54,3
Office Supplies,2697.72,7
Office Supplies,1944.01,5
Office Supplies,2929.16,3
Office Supplies,2523.7,3
Technology,1825.21,8
Technology,1306.31,6
Office Supplies,2593.8,3
Technology,2661.28,11
Office Supplies,659.54,3
Office Supplies,1171.08,7
Office Supplies,2300.63,9
Office Supplies,2237.26,5
Office Supplies,868.18,5
Office Supplies,2703.23,1
Technology,2368.4,6
Technology,2696.27,5
Office Supplies,1549.99,5
Technology,2125.16,6
Technology,2667.92,5
Office Supplies,1317.89,1
Office Supplies,2071.24,2
Furniture,978.48,9
Office Supplies,1352.57,10
Office Supplies,511.62,3
Office Supplies,1671.31,2
Office Supplies,2655.56,5
Office Supplies,2328.15,3
Furniture,2072.48,4
Office Supplies,1786.93,1
Furniture,1433.3,2
Office Supplies,1557.32,8
Office Supplies,1161.52,10
Office Supplies,2622.57,1
Office Supplies,2246.49,3
Technology,1506.08,6
Office Supplies,725,7
Office Supplies,1463.5,4
Office Supplies,2457.64,7
Office Supplies,1390.94,10
Office Supplies,2781.57,3
Office Supplies,1588.25,1
Office Supplies,916.12,6
Office Supplies,878.87,9
Technology,987.61,6
Technology,2387.53,3
Office Supplies,2150.61,6
Office Supplies,1524.87,2
Office Supplies,1637.36,3
Office Supplies,937.73,1
Furniture,2105.7,2
Office Supplies,1006.21,3
Office Supplies,2766.99,5
Office Supplies,2808.94,5
Office Supplies,1416.21,5
Office Supplies,2626.84,9
Office Supplies,809.19,7
Office Supplies,2809.83,2
Office Supplies,2810.59,1
Office Supplies,1620.76,6
Office Supplies,1288.77,7
Office Supplies,2184.61,4
Office Supplies,848.95,7
Office Supplies,2978.69,1
Office Supplies,1858.36,7
Office Supplies,2480.98,3
Office Supplies,2330.28,5
Furniture,2859.13,8
Furniture,2548.47,11
Office Supplies,2902.14,7
Office Supplies,1848.73,2
Office Supplies,2121.68,3
Office Supplies,1946.03,4
Office Supplies,2440.99,2
Office Supplies,1639.25,5
Technology,1138.33,7
Furniture,1622.07,10
Office Supplies,2969.81,2
Office Supplies,529.41,10
Technology,2296.67,7
Office Supplies,2000.08,5
Technology,2225.17,9
Office Supplies,1005.69,11
Office Supplies,507.86,5
Furniture,994.47,8
Office Supplies,1284.29,7
Office Supplies,1110.65,1
Office Supplies,2571.88,1
Office Supplies,2150.9,1
Office Supplies,2176.64,2
Office Supplies,1609.96,11
Office Supplies,932.53,6
Office Supplies,1688.95,8
Office Supplies,2712.32,5
Office Supplies,1107.33,5
Office Supplies,1175.74,4
Office Supplies,1281.63,4
Office Supplies,2437.72,5
Furniture,2539.87,1
Office Supplies,585.97,10
Office Supplies,605.9,4
Technology,847.74,9
Office Supplies,1256.05,7
Furniture,2177.44,10
Office Supplies,663.7,10
Office Supplies,1594.19,4
Technology,2664.57,9
Technology,2360.08,11
Furniture,604.07,8
Office Supplies,1930.11,6
Office Supplies,1243.21,8
Office Supplies,782.69,6
Technology,2273.28,6
Office Supplies,2521.13,10
Office Supplies,2514.12,7
Office Supplies,2920.38,4
Office Supplies,2982.42,9
Technology,1536.4,8
Office Supplies,2924.07,5
Office Supplies,2137.43,6
Office Supplies,509.37,10
Office Supplies,1104.45,3
Office Supplies,1916.68,8
Technology,762.3,4
Office Supplies,2645.86,5
Technology,1281.87,11
Office Supplies,847.27,5
Office Supplies,1656.85,8
Office Supplies,1659.22,9
Technology,1636.6,1
Technology,2270.23,6
Office Supplies,2848.69,6
Office Supplies,1863.07,1
Office Supplies,891.73,10
Technology,524.24,3
Office Supplies,522.46,8
Office Supplies,1081.85,1
Office Supplies,810.6,6
Office Supplies,2950.77,1
Technology,2533.35,7
Technology,1649.57,9
Office Supplies,1629.62,10
Office Supplies,508,10
Office Supplies,614.78,1
Office Supplies,1205.27,8
Office Supplies,2860.96,8
Office Supplies,1984.02,1
Office Supplies,2100.89,5
Office Supplies,2934.33,11
Office Supplies,2694.51,1
Furniture,2470.68,2
Office Supplies,1274.06,4
Office Supplies,1558.19,7
Office Supplies,1525.47,4
Furniture,1732.54,3
Office Supplies,1377.9,4
Office Supplies,2792.95,1
Office Supplies,2822.09,4
Office Supplies,1594.43,10
Technology,906.91,5
Furniture,2681.84,9
Office Supplies,2626.69,6
Office Supplies,975.14,8
Office Supplies,1995.5,5
Technology,1655.86,1
Office Supplies,2452.26,7
Furniture,2714.98,4
Furniture,2081.05,9
Office Supplies,1392.7,4
Office Supplies,1696.89,1
Technology,2880.71,1
Office Supplies,2508.35,2
Office Supplies,524.47,9
Office Supplies,2448.74,3
Office Supplies,782.32,5
Technology,1876.13,5
Office Supplies,2991.79,5
Office Supplies,1695.28,2
Office Supplies,1503.24,1
Office Supplies,2700.27,9
Office Supplies,2853.74,8
Office Supplies,982.41,9
Office Supplies,2328.1,9
Office Supplies,2382.86,1
Office Supplies,1641.18,9
Office Supplies,1491.42,3
Office Supplies,2550.09,6
Technology,1031.41,9
Furniture,1384.14,11
Technology,814.51,8
Technology,2754.04,2
Office Supplies,1868.32,8
Office Supplies,753.51,7
Office Supplies,1413.62,4
Office Supplies,2300.46,2
Office Supplies,2307.22,7
Furniture,831.37,4
Office Supplies,2341.12,1
Office Supplies,2380.92,10
Office Supplies,2749.78,7
Office Supplies,865.21,6
Office Supplies,2786.09,8
Office Supplies,1675.95,3
Office Supplies,774.15,3
Office Supplies,2966.92,11
Office Supplies,885.25,11
Office Supplies,2322.47,5
Office Supplies,644.82,7
Office Supplies,589,2
Office Supplies,1503.76,11
Office Supplies,590.24,11
Office Supplies,1972.21,4
Technology,1247.84,5
Furniture,2347.84,11
Office Supplies,1873.77,1
Office Supplies,1890.17,10
Office Supplies,1866.59,6
Office Supplies,1318.53,7
Furniture,829.77,9
Technology,2299.54,7
Furniture,2778.67,9
Technology,1953.94,5
Office Supplies,2228.52,11
Office Supplies,2546.92,5
Office Supplies,1367.05,6
Office Supplies,635.8,6
Technology,1342.45,4
Technology,868.92,1
Office Supplies,1014.02,8
Office Supplies,1455.58,11
Furniture,1964.65,2
Office Supplies,2534.67,2
Office Supplies,501.76,8
Office Supplies,2245.15,6
Office Supplies,2936.29,8
Office Supplies,1361.44,6
Furniture,734.73,6
Office Supplies,777.46,6
Office Supplies,2862.67,3
Office Supplies,1662.21,9
Office Supplies,2151.49,2
Technology,1033.92,11
Office Supplies,2514.9,10
Furniture,2207.31,11
Furniture,2456.07,8
Technology,716.86,6
Office Supplies,2746.39,4
Office Supplies,2447.27,11
Furniture,2826.38,3
Furniture,2857.6,9
Office Supplies,2601.89,9
Office Supplies,1548.97,6
Technology,1551,1
Technology,1434.19,1
Furniture,2660.18,4
Office Supplies,2742.96,7
Office Supplies,2104.55,9
Office Supplies,865.76,9
Office Supplies,2531.07,3
Office Supplies,1566.49,7
Office Supplies,2996.68,9
